year,ch13_total,prior_within_lookback,prior_outside_lookback
1990,4,0,0
1991,9,0,1
1992,7,0,3
1993,15,4,4
1994,22,7,8
1995,36,10,2
1996,57,4,8
1997,108,6,26
1998,127,10,39
1999,127,10,36
2000,232,14,56
2001,487,35,93
2002,591,63,145
2003,1020,80,307
2004,938,52,443
2005,683,52,357
2006,434,33,153
2007,593,39,244
2008,506,29,233
2009,434,31,167
2010,508,24,207
2011,496,31,222
2012,486,26,239
2013,519,43,235
2014,665,38,340
2015,723,47,358
2016,748,39,365
2017,741,32,411
2018,778,39,427
2019,866,48,532
2020,496,29,315
2021,352,26,221
2022,422,18,262
2023,510,35,334
2024,515,31,361
2025,479,31,392
2026,65,2,62
